,Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
2731622,PHX,SMF,"Phoenix, AZ","Sacramento, CA",126,190,1,647,2009-03-01,4364094,2127355,33.4342994689941,-112.012001037598,38.6954002380371,-121.591003417969
2731628,PHX,SMF,"Phoenix, AZ","Sacramento, CA",47,54,1,647,2009-03-01,4364094,2127355,33.4342994689941,-112.012001037598,38.6954002380371,-121.591003417969
2731655,SEA,SMF,"Seattle, WA","Sacramento, CA",0,157,1,605,2009-01-01,6815696,2127355,47.4490013122559,-122.30899810791,38.6954002380371,-121.591003417969
2731667,SEA,SMF,"Seattle, WA","Sacramento, CA",502,942,6,605,2009-02-01,6815696,2127355,47.4490013122559,-122.30899810791,38.6954002380371,-121.591003417969
2731755,MFR,SMF,"Medford, OR","Sacramento, CA",38,70,1,263,2009-07-01,201286,2127355,42.3741989135742,-122.873001098633,38.6954002380371,-121.591003417969
2731894,ORD,SMF,"Chicago, IL","Sacramento, CA",1468,1680,12,1781,2009-09-01,19161134,2127355,41.97859955,-87.90480042,38.6954002380371,-121.591003417969
2731961,CIC,SMF,"Chico, CA","Sacramento, CA",0,0,23,77,2009-10-01,220577,2127355,39.79539871,-121.8580017,38.6954002380371,-121.591003417969
2731973,CIC,SMF,"Chico, CA","Sacramento, CA",0,0,21,77,2009-06-01,220577,2127355,39.79539871,-121.8580017,38.6954002380371,-121.591003417969
2731982,UKI,SMF,"Ukiah, CA","Sacramento, CA",0,0,26,92,2009-05-01,86040,2127355,39.125999450684,-123.20099639893,38.6954002380371,-121.591003417969
2732085,LAS,SMF,"Las Vegas, NV","Sacramento, CA",20543,29026,212,397,2009-05-01,1902834,2127355,36.08010101,-115.1520004,38.6954002380371,-121.591003417969
2732097,LAS,SMF,"Las Vegas, NV","Sacramento, CA",114,172,2,397,2009-08-01,1902834,2127355,36.08010101,-115.1520004,38.6954002380371,-121.591003417969
2732234,IAD,SMF,"Washington, DC","Sacramento, CA",3443,3888,28,2358,2009-07-01,10952482,2127355,38.94449997,-77.45580292,38.6954002380371,-121.591003417969
